node1,node2,weight,ingredients,percent_recipes
cayenne,onion,1037,cayenne & onion,59.0
cayenne,garlic,981,cayenne & garlic,56.0
onion,garlic,968,onion & garlic,55.0
onion,tomato,949,onion & tomato,54.0
cayenne,tomato,917,cayenne & tomato,52.0
tomato,garlic,859,tomato & garlic,49.0
cayenne,cumin,529,cayenne & cumin,30.0
cumin,garlic,516,cumin & garlic,29.0
onion,cumin,494,onion & cumin,28.0
cayenne,corn,434,cayenne & corn,25.0
