node1,node2,weight,ingredients,percent_recipes
wheat,butter,4,wheat & butter,44.0
wheat,egg,3,wheat & egg,33.0
vegetable oil,egg,2,vegetable oil & egg,22.0
black pepper,onion,2,black pepper & onion,22.0
black pepper,cumin,2,black pepper & cumin,22.0
black pepper,garlic,2,black pepper & garlic,22.0
vegetable oil,wheat,2,vegetable oil & wheat,22.0
sesame seed,butter,2,sesame seed & butter,22.0
sesame seed,wheat,2,sesame seed & wheat,22.0
wheat,black pepper,2,wheat & black pepper,22.0
