node1,node2,weight,ingredients,percent_recipes
soy sauce,garlic,51,soy sauce & garlic,39.0
soy sauce,scallion,48,soy sauce & scallion,37.0
soy sauce,ginger,42,soy sauce & ginger,32.0
starch,soy sauce,39,starch & soy sauce,30.0
soy sauce,vegetable oil,37,soy sauce & vegetable oil,28.0
soy sauce,sesame oil,36,soy sauce & sesame oil,28.0
pork,soy sauce,33,pork & soy sauce,25.0
soy sauce,egg,33,soy sauce & egg,25.0
ginger,garlic,30,ginger & garlic,23.0
starch,garlic,29,starch & garlic,22.0
