country,num_recipes
Austria,21
Belgium,11
Canada,774
China,130
France,268
Germany,289
Greece,225
India,324
Iran,21
Ireland,86
Israel,9
Italy,1461
Japan,85
Korea,32
Malaysia,18
Mexico,1754
Netherlands,32
Philippines,43
Spain,75
Thailand,289
United Kingdom,282
United States of America,40150
Vietnam,30
