node1,node2,weight,ingredients,percent_recipes
wheat,butter,126,wheat & butter,45.0
wheat,egg,117,wheat & egg,41.0
butter,egg,95,butter & egg,34.0
milk,wheat,77,milk & wheat,27.0
milk,butter,75,milk & butter,27.0
milk,egg,61,milk & egg,22.0
onion,butter,48,onion & butter,17.0
onion,potato,44,onion & potato,16.0
onion,wheat,41,onion & wheat,15.0
cane molasses,butter,35,cane molasses & butter,12.0
