node1,node2,weight,ingredients,percent_recipes
wheat,egg,150,wheat & egg,52.0
wheat,butter,111,wheat & butter,38.0
butter,egg,106,butter & egg,37.0
milk,wheat,74,milk & wheat,26.0
milk,egg,71,milk & egg,25.0
milk,butter,60,milk & butter,21.0
wheat,cinnamon,50,wheat & cinnamon,17.0
cinnamon,egg,49,cinnamon & egg,17.0
onion,vinegar,48,onion & vinegar,17.0
wheat,vanilla,43,wheat & vanilla,15.0
